address,size,name,source,status,notes
0x020004A0,4,gRam020004A0,decomp,provisional,0x08052C68 reads it as the flag gate switch.
0x020004A4,2,gRam020004A4,decomp,provisional,0x080657D8 writes the value `1 - r2` with strh; the source declares it s16 because the value can be negative. Size 2.
0x020004B0,8,gFocusPoint,decomp,verified,"two-component focus point; UpdateFocusPoint writes it (byte-matching evidence)  TRACE (car, full width): two 16.16 FIXED-POINT coordinates. +0x00=X, +0x04=Y. Start (3360.000, 9568.000) -- whole numbers. While Up is held, Y steps by exactly -374632 (-5.716), constant in 29/29 samples. Some X differences are EXACTLY 65536 (1.000) and 262144 (4.000), which PROVES the 16.16 format."
0x020004BC,4,gDisplayState,decomp,provisional,Zeroed during display reset and in GameInit; exact role unconfirmed
0x020004C0,2,gRam020004C0,decomp,provisional,"Diagnostic marker: on entry to 0x080657D8 it writes the mode parameter (the [sp,#0] on the stack) here. strh, so u16. It lets the last running driver mode be read from RAM at the moment of a lockup."
0x020004D0,4,gIntrMainEwram,decomp,provisional,EWRAM copy target of the IRQ dispatcher
0x02000CE0,16,gGameState,decomp,provisional,"Game state block; byte 12 selects the VBlank frame-delay behaviour  TRACE: a 16-byte block; byte 0 increases by 1 every frame from f52 onwards (counter behaviour).  LEFT PROVISIONAL -- THE NAME IS DOUBTFUL: byte 0 increases every frame, so counter behaviour; the name ""state"" is not supported."
0x02000CF8,4,gFrameStateSource,decomp,provisional,Source of the per-frame state copy
0x02000D08,4,gVBlankEnabled,decomp,provisional,Nonzero while VBlank processing is enabled
0x02000D0C,2,gRam02000D0C,decomp,provisional,"Diagnostic marker: on entry to 0x080657D8 it writes the mode parameter (the [sp,#0] on the stack) here. strh, so u16. It lets the last running driver mode be read from RAM at the moment of a lockup."
0x02000D14,4,gGlobalState02000D14,decomp,provisional,state word zeroed by FUN_080100D0 at the end of buffer setup.
0x02000D18,4,gRam02000D18,decomp,provisional,Referenced by a block queued for matching; role unknown
0x02000D40,2,gSlotSelector,decomp,provisional,"when 1 the secondary slot (0x02001140) is selected, otherwise the primary one (0x02000F10)"
0x02000D50,10,gSaveBuffer,decomp,provisional,"Working buffer used by the save manager; +8 and +9 are used by SaveBufferCopy8To9 (byte-matching evidence), so the size is at least 10"
0x02000E74,4,gAsyncState,decomp,provisional,Nonzero suppresses the fifth VBlank transfer step; role unconfirmed
0x02000E80,32,gRam02000E80,decomp,provisional,"Size 32 MEASURED (Memset call, 0x08066144)"
0x02000EB4,4,gFrameCounterEwram,decomp,provisional,EWRAM frame counter
0x02000EB8,4,gEepromAvailable,decomp,provisional,Nonzero when EEPROM was identified; also used as IRQ depth
0x02000EBC,4,gPostFrameState,decomp,provisional,"State written after the frame completes  TRACE (session 7): 0 -> 1 at f25741 while driving a vehicle (A held).  LEFT PROVISIONAL -- A SINGLE OBSERVATION: 0->1 was seen only once, and no behavioural pattern could be derived."
0x02000EC0,4,gSavePayloadSize,decomp,verified,"Per-slot payload size in bytes, rounded up to an eight-byte EEPROM block"
0x02000EC4,4,gSaveSlotCount,decomp,verified,"Configured save slot count, clamped to 1..16 by InitSaveSystem"
0x02000ED0,32,gSaveMetadata,decomp,verified,"Save metadata buffer; first 8 bytes are the CRAWSAVE signature, byte 8 is slot count, byte 16+slot is the per-slot valid flag"
0x02000F00,1,gRam02000F00,decomp,provisional,Single byte; 0x0803AFBC reads it with `ldrb` (0x0803B168). Its meaning has not been worked out yet.
0x02000F04,4,gSessionPtr,decomp,verified,"Pointer used by 0x0803C798; target layout partially known; +0x00 is a POINTER (menu_screen.c dereferences it: ldr r1,[r0] + ldrb r2,[r1,#8]); +8 of the pointee is `kind` in menu_screen and `flags` in session_node.c -- the same field  TRACE: 0->0x02000F10 at f1068, so it points at gRam02000F10. The two symbols point at the same structure."
0x02000F08,4,gRam02000F08,decomp,provisional,Pointer; 0x0803AFBC dereferences it and reads the +0x1C field. The target structure has not been worked out yet.
0x02000F0C,4,gState1,decomp,provisional,Unidentified state word
0x02000F10,18,gRam02000F10,decomp,verified,"Referenced by a block queued for matching; role unknown; size clipped 36->18 (up to the neighbouring symbol / end of the region; the real size is unknown); +0x00 is a POINTER (menu_screen.c dereferences it: ldr r1,[r0] + ldrb r2,[r1,#8]); +8 of the pointee is `kind` in menu_screen and `flags` in session_node.c -- the same field  TRACE: gSessionPtr holds this address at f1068; the body of the session/record structure.  TRACE (session 6): the +0x10 field went 0x40000 -> 0 on the death frame (the same frame as health 4->0). This again supports it being the player/session structure that gSessionPtr points at.  TRACE (arrest, session 8): +0x10 is HEALTH IN 16.16 FIXED POINT. On a new game 6553600 = 100*65536 = 100.0; on the arrest it dropped by exactly 262144 (4.0) and player_health went 100->96 on the same frame; in the death session it had gone 4.0 -> 0. Consistent across three separate sessions. player_health is its integer copy."
0x02000F22,1,player_health,libretro_cheat,verified,"Cheat value 100  TRACE: 0->100 at f1068 on a new game. Name and meaning VERIFIED.  TRACE (damage/death test, session 6): NAME AND MEANING PROVEN. It dropped by exactly 4 per punch (100 -> 0, 25 steps), and the death sequence started when it reached zero."
0x02000F70,4,gState0,decomp,provisional,Unidentified state word
0x02000F80,4,gRam02000F80,decomp,provisional,"Third slot pointer; a struct in the +0x20 field, +0x12 u16"
0x02001050,4,gState2,decomp,provisional,Unidentified state word
0x02001060,4,gRam02001060,decomp,provisional,A secondary slot pointer; dependent symbol of slot_query.c
0x0200108C,2,weapon_slot_0,libretro_cheat,provisional,Start of strided weapon records
0x0200108E,1,weapon_ammo_0,libretro_cheat,provisional,Records appear to use stride 8
0x020010E4,2,car_weapon_id,libretro_cheat,provisional,
0x020010E6,1,car_weapon_ammo,libretro_cheat,provisional,
0x02001130,4,gState3,decomp,provisional,Unidentified state word
0x02001140,36,gRam02001140,decomp,verified,"Referenced by a block queued for matching; role unknown; +0x00 is a POINTER (menu_screen.c dereferences it: ldr r1,[r0] + ldrb r2,[r1,#8]); +8 of the pointee is `kind` in menu_screen and `flags` in session_node.c -- the same field  TRACE (session 7): a structure PARALLEL to gRam02000F10. On a new game at f22512 the +0x04 field of both became 2 and the +0x10 field 6553600 -- same frame, same values. The second player/entity slot."
0x020011A0,1,gActiveMenuItemCount,decomp,verified,"Number of visible menu entries written by BuildActiveMenuItems  TRACE: 0->5 at f4 on boot (5 options on the language screen), 5->0 at f1068 when the game starts."
0x020011B0,80,gActiveMenuItems,decomp,verified,Twenty pointers to the currently visible menu entries
0x02001210,4,gMenuPaletteSource,decomp,verified,"Palette data DMA-ed into palette RAM by InitMenuScreen  TRACE: the values are BGR555 colours (0x7C1F magenta, 0x7FFF white) -- NOT A POINTER, a palette buffer. It must not be read as u32."
0x02001410,4,gMenuFlags,decomp,verified,Menu flag bitfield tested by IsMenuFlagSet
0x02001414,1,gMenuPositionX,decomp,verified,Menu horizontal position computed by BuildActiveMenuItems
0x02001440,8,gRam02001440,decomp,provisional,"In FUN_08003454 it holds a {frame table pointer, index} pair: +0x00 is the base of a table of 8-byte entries, +0x04 the current index. The entry's first word is LZ77-compressed tile data, its second word (when present) the palette. When the first word is 0 the index is reset."
0x02001450,4,gRam02001450,decomp,provisional,"In FUN_08003454, the buffer used as the LZ77UnCompWram destination and then as the DMA3 source. Size NOT VERIFIED; only the base is known."
0x020079A0,1,player_armor,libretro_cheat,provisional,Cheat value 100
0x0200F280,464,gLinkBlock,decomp,provisional,ROM: 0x08066144 sets it up by zeroing 464 bytes with InitLinkBlock; gRam02036338 points at it
0x02010C60,32,gUnk02010C60,decomp,provisional,Byte 26 selects between the two return values of 0x0803C77C
0x02010F44,4,gMenuRuntimeState,decomp,provisional,Cleared alongside gMenuFlags in ResetMenuState; role unconfirmed
0x02010F48,4,gRam02010F48,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x02010F4C,4,gRam02010F4C,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x02010F70,128,gHistory,decomp,provisional,"+0 is the current record, +0x78 the 31-entry history queue that is shifted down"
0x02010FF0,1,gRam02010FF0,decomp,provisional,u8 state field zeroed by FUN_0805643C
0x02011018,4,gRam02011018,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x02011030,114,gRam02011030,decomp,verified,"+12/+16 a paired coordinate pair, +72 a separate word; additionally +0x30/+0x34/+0x38 are read by ReadTriple (byte-matching evidence); +0x71 is written by ClearCoordByte71 (byte-matching evidence)  TRACE (session 6): the low byte of the +0x0C field was cleared on death (0x1000030 -> 0x1000000). This block is the CoordBlock that UpdateFocusPoint (0x0800A9E4) reads."
0x020110AC,4,gRam020110AC,decomp,provisional,"A word loaded through a separate literal; the same address as 0x02011030+0x7C, but the ROM uses a separate constant"
0x020110B0,4,gRam020110B0,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x020110B8,4,gRam020110B8,decomp,provisional,u32; 0x08066144 zeroes it during session setup
0x020110C0,4,gRam020110C0,decomp,provisional,"In ReleaseAreaNode only its ADDRESS is passed as the FIRST argument to the FUN_0800c804 call; there is no member access, so its internal structure is UNKNOWN. The nearest recorded neighbour is 0x020110AC (gRam020110AC), but the ROM uses a separate pool constant, so it is a separate object."
0x02014ED0,0,gBufferBase02014ED0,decomp,provisional,FUN_080100D0 passes the same base address to two allocation calls; size and ownership are unknown.
0x02015650,0,gRam02015650,decomp,provisional,Used as the entry table in FUN_0800DCB4. Size UNKNOWN (0); only the base was measured. Details in the header of src/core/list_b2.c.
0x0201627C,4,gRam0201627C,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x02016280,4,gListHead02016280,decomp,provisional,"Head pointer of the doubly linked list; node +20 next, +24 prev  TRACE: it becomes active on the same frame as gNodePool at f1508.  LEFT PROVISIONAL -- INDIRECT: only its activation on the same frame as gNodePool was observed; its identity was not proven directly."
0x02016288,4,gSortedHead02016288,decomp,provisional,the head pointer of the second (sorted) list during the 0x0800D530 sort; the same node type as gListHead02016280. The ROM loads the two from SEPARATE literals.
0x0201AA90,1,gRam0201AA90,decomp,provisional,Melody flag; 6 is written at 0x08063B98
0x0201AA98,4,gRam0201AA98,decomp,provisional,a POINTER to a table of 16-byte entries; 0x0800DB60 caps the index at 400.
0x0201AAA0,4,gBufferA0201AAA0,decomp,provisional,FUN_080100D0 writes the result of a 0x1000-byte allocation here.
0x0201AAA4,4,gBufferStateB0201AAA4,decomp,provisional,state word zeroed by FUN_080100D0 during buffer setup.
0x0201AAA8,4,gBufferStateA0201AAA8,decomp,provisional,state word zeroed by FUN_080100D0 during buffer setup.
0x0201AAB0,2064,gBufferClear0201AAB0,decomp,provisional,FUN_080100D0 zeroes 0x102 words with DMA3; the size follows from that form.
0x0201AECC,0,gRam0201AECC,decomp,provisional,used in FUN_080126E4; its internal structure is UNKNOWN and the size was not measured (0). Details in the header of src/core/insert_b1.c.
0x0201AEE8,8,gRam0201AEE8,decomp,provisional,"Pointer to the map grid. The target structure was MEASURED from 0x080651E0: +0x00 u16 width, +0x02 u16 height, +0x04 u16* tile array (indexed by y*width+x). The single definition is include/map_grid.h. Written by 0x0801D7FC."
0x0201AEF0,0,gRam0201AEF0,decomp,provisional,a working block that includes the BG2 display position; the +0x1F88 and +0x1F8C fields are used
0x0201CEC0,2060,gNodePool,decomp,verified,"node pool; +0x800 free list head, +0x804 active list head (byte-matching evidence)  TRACE: it becomes active at f1508 -- the moment the game world / NPCs are spawned. This is where the linked list system comes into play.  MEASURED (FlushSpriteList): +0x800 free list head, +0x804 active list head, +0x808 previous-frame sprite count. Size corrected 2056 -> 2060.  C EVIDENCE: InitSpritePool builds the free list of 128 x 16 bytes; InsertSpriteSorted uses the +0/+2/+4 OAM fields and the +6 secondary sort key. The shared type is include/sprite_pool.h.  TRACE (session 6): one frame after death, +0x08 and +0x0C (the free/active list heads) changed -- the player entity is being released."
0x0201D6D0,0,gRam0201D6D0,decomp,provisional,the pool object of FUN_080089b0/FUN_08008a28; its internal structure is UNKNOWN and the size was not measured.
0x0201ECB0,0,gRam0201ECB0,decomp,provisional,"queue array with a 12-byte stride (+0 word, +4 word, +8 u16, +0x0A u16); at most 128 entries."
0x0201F2B0,0,gRam0201F2B0,decomp,provisional,The buffer that 0x08012E78 zeroes with DMA3 for 0xE00 words (14336 bytes) while clearing the queue.
0x02022AB0,12,gRam02022AB0,decomp,provisional,"Draw entry queue header: +0 count, +4 entry array (28-byte stride), +8 s16 last index; 0x08012E78 uses it."
0x02022ABC,4,gRam02022ABC,decomp,provisional,Queue counter; 0x08012F88 and its twin cap it at 128.
0x02022E50,272,gRam02022E50,decomp,provisional,a pointer at +0x100 and a second one at +0x104; head of the 0x08013974 lists; size clipped 512->272 (up to the neighbouring symbol / end of the region; the real size is unknown)
0x02022F60,8,gRam02022F60,decomp,provisional,"+0 flag, +4 DMA source pointer"
0x02022FA0,256,gRam02022FA0,decomp,provisional,"gRam02022E50+0x150, eight 32-byte entries"
0x020230A0,4,gRam020230A0,decomp,provisional,"Head of the doubly linked object list (node +0x3C prev, +0x40 next, 0xFDFDFDFD = not linked); ReleaseObject updates it while unlinking."
0x020230B4,1,gRam020230B4,decomp,provisional,Shared u8 counter; The 12 behaviours in the 0x08017E3C-0x08018B74 family increment the step and reset it once the threshold is exceeded.
0x020230D0,20,gRam020230D0,decomp,provisional,+0/+4 (=0x01000000) constant; +12/+16 (arg << 16 | 0xFF000000)
0x02023700,4,gRam02023700,decomp,provisional,Diagnostic marker showing the last completed stage of the frame processing chain
0x02023704,4,gRam02023704,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x0202370C,4,gRam0202370C,decomp,provisional,Variable zeroed by 0x0802392C
0x02023710,740,gRam02023710,decomp,provisional,5 x 148 entries; 0x08023CC4 zeroes it with DMA.
0x02023A00,2220,gEntriesA,decomp,provisional,148-byte entry table; 0x8028E3C scans 14 entries  MEASURED (0x08023CC4): DMA zeroes 15 x 148 = 2220 bytes; the old value of 2088 had been clipped.
0x020242B0,148,gRam020242B0,decomp,provisional,1 x 148 entries; 0x08023CC4 zeroes it with DMA.
0x02024344,2,gRam02024344,decomp,provisional,u16; 0x08023CC4 zeroes it (strh).
0x02024350,592,gRam02024350,decomp,provisional,4 x 148 entries; 0x08023CC4 zeroes it with DMA.
0x020245A0,1,gRam020245A0,decomp,provisional,u8; 0x08023CC4 zeroes it (strb).
0x020245B0,148,gRam020245B0,decomp,provisional,1 x 148 entries; 0x08023CC4 zeroes it with DMA.
0x02024650,148,gRam02024650,decomp,provisional,table of 148-byte entries; ProcessFirstEntry uses only entry 0; the size was clipped up to the neighbouring symbol and the real total is unknown  MEASURED (0x08023CC4): DMA zeroes 1 x 148 bytes.
0x020246F0,2960,gRam020246F0,decomp,provisional,"20-entry, 148-byte table; 0x08028CA8 uses it; size clipped 2960->2812 (up to the neighbouring symbol / end of the region; the real size is unknown)  MEASURED (0x08023CC4): the DMA control word 0x850002E4 = 740 words = 2960 bytes, exactly up to 0x02025280. The old value of 2812 was derived as ""up to the next symbol"", but that symbol (gRam020251EC) is the 20th ENTRY of this array."
0x020251EC,148,gRam020251EC,decomp,provisional,"20-entry, 148-byte table; +0 active flag, +4 one of the branches; size clipped 2960->148 (up to the neighbouring symbol / end of the region; the real size is unknown)  CORRECTION: NOT a separate object -- the 20th entry of the gRam020246F0 array (offset 2812 = 19 x 148). It was left as a separate symbol because the code refers to it."
0x02025280,592,gRam02025280,decomp,provisional,"20-entry, 148-byte table; +0 active flag, +2 u16, +0x8A flag, +0x8C word; size clipped 2960->1424 (up to the neighbouring symbol / end of the region; the real size is unknown)  CORRECTION: the value 1424 was wrong. 0x08023CC4 zeroes only 4 x 148 = 592 bytes, and the next symbol (gRam020254D0) starts exactly 592 bytes later."
0x020254D0,740,gRam020254D0,decomp,provisional,5 x 148 entries; 0x08023CC4 zeroes it with DMA.
0x02025800,4,gRam02025800,decomp,provisional,index into the 28-byte record table (gRom08852A2C); when 0 the operation is skipped. 0x08063E7C and 0x08063EAC read it.
0x02025810,5008,gRam02025810,decomp,verified,"Player progress block, size 0x1390 = 5008. EVIDENCE: 0x080296B8 calls Memset(gRam02025810, 0, 0x1390); the constant 0x1390 occurs EXACTLY ONCE in the ROM as a 4-byte aligned word, so it is both a lower and an UPPER bound. Layout in docs/GRAM02025810_LAYOUT.md: 0x00-0x3B scalars, at 0x3C a 24x180-byte slot array (closing exactly at 0x3C+24*180 = 0x111C), at 0x111C 12 u32, at 0x114C a 512-byte buffer (0x114C+0x200 = 0x134C), 0x134C-0x138D counters/flags. The size was recorded wrongly THREE TIMES before, as 8, 4990 and 5006; the first two were my incomplete measurements, the third an inference from a single access."
0x02025818,2,mission_timer,libretro_cheat,verified,"TRACE (idle test, session 5): NAME CORRECT, a timer. With the player pressing NO key at all it increased 30 times, by exactly 0x100 each time; the interval is 60-65 frames (avg. 63.9), so one tick roughly every 64 frames. My EARLIER ""distance counter"" claim is REFUTED -- in those sessions Up was held continuously, so the increases appeared to coincide with the key: coincidence, not causation. The 481-frame pause during the cutscene is also expected behaviour: mission time stops during cutscenes."
0x0202581A,1,wanted_level_display,libretro_cheat,verified,"TRACE (session 8): NAME CORRECT. 0->1 when hitting a police car, 1->0 on arrest. it takes the same value as wanted_level_true (gRam02030330+0x10) ON THE SAME FRAME -- two separate addresses carrying the same value, one of them a display copy."
0x0202581C,4,money_display_or_copy_0,libretro_cheat,provisional,Exact representation to verify dynamically
0x02025824,4,money_display_or_copy_1,libretro_cheat,provisional,Exact representation to verify dynamically
0x02025828,1,player_armor_copy,libretro_cheat,provisional,Possible HUD/game-state mirror
0x0202582A,1,player_health_copy,libretro_cheat,verified,"Possible HUD/game-state mirror  TRACE (session 6): it took the same value as player_health ON THE SAME FRAME, 25/25 transitions. A genuine duplicate."
0x02026BA0,0,gRam02026BA0,decomp,provisional,u16 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02026BE0,0,gRam02026BE0,decomp,provisional,u8; Zeroed on entry to 0x08030EAC (LoadHudPalettes).
0x02026C10,0,gRam02026C10,decomp,provisional,u32 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02026C90,0,gRam02026C90,decomp,provisional,u16 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02026CD0,80,gRam02026CD0,decomp,provisional,"+2 u16 field, +76 u32 field"
0x02026D90,4,gRam02026D90,decomp,provisional,u32 gate; 0x08031294 routes the HUD redraw through this value
0x02026DA0,4,gRam02026DA0,decomp,provisional,"0x08031388 uses it; the nearest recorded symbols (0x02026CD0, 0x02026DF0) do not cover this address"
0x02026DF0,132,gRam02026DF0,decomp,provisional,used in FUN_08030E10; it was measured to be at least 0x84 bytes; its upper bound is UNKNOWN. Details in the header of src/world/area_cleanup_b1.c.
0x02026E80,4,gRam02026E80,decomp,provisional,the block released with ReleaseObject during the 0x08030CB4 cleanup
0x02026EF0,8,gFlagsB,decomp,provisional,8-entry flag array
0x02026F30,4,gRam02026F30,decomp,provisional,Menu session word A; 0x080320E0 zeroes it.
0x02026F34,4,gRam02026F34,decomp,provisional,"Secondary id; valid only while gGameState[12] is set, returns 2"
0x02026F38,8,gFlagsA,decomp,provisional,8-entry flag array
0x02026F40,0,gRam02026F40,decomp,provisional,u16 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02026F80,0,gRam02026F80,decomp,provisional,u16 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02026FD0,4,gRam02026FD0,decomp,provisional,Menu session word B; 0x080320E0 zeroes it.
0x02026FE0,576,gBlockTable,decomp,provisional,"8-entry, 72-byte block table; paired with the 0x02026F38 flags"
0x02027230,0,gRam02027230,decomp,provisional,u16 [N][8]; 0x08031C98 (the ReleaseEntry... tail) indexes it as [n][8]; N is UNKNOWN; it must be declared as an ARRAY.
0x02027280,0,gRam02027280,decomp,provisional,The object released with ReleaseObject (0x08030F90).
0x020272C8,4,gRam020272C8,decomp,provisional,Primary id; returns 1 in the 0x08055AC4 comparison
0x02027310,4,gRam02027310,decomp,provisional,ZeroThreeFlags zeroes it (byte-matching evidence)
0x02027314,1,gRam02027314,decomp,provisional,0x080337A8 writes a copy of the gCartFlag value here.
0x02027320,4,gRam02027320,decomp,provisional,ZeroThreeFlags zeroes it (byte-matching evidence)
0x02027330,0,gRam02027330,decomp,provisional,0x02027344-0x14; +0xB2C is a second view onto the same eight-entry table (0x08033674).
0x02027344,264,gAddrTable,decomp,provisional,"6-entry, 44-byte table; a +0 u32 ROM address in every entry"
0x02027EE0,1,gRam02027EE0,decomp,provisional,u8 state field zeroed by FUN_0805643C
0x02028270,4,gUnk02028270,decomp,provisional,Read by a small getter at 0x08037F34; role unknown
0x02028280,4,gUnk02028280,decomp,provisional,Read by a small getter at 0x08037F64; role unknown
0x02028290,4,gUnk02028290,decomp,provisional,"Read by a small getter at 0x08037F58; role unknown  TRACE: it changed ONLY during a car ride (f2864, once). It may belong to the vehicle system."
0x020282A0,4,gUnk020282A0,decomp,provisional,Read by a small getter at 0x08037F40; role unknown
0x0202F2C0,4,gUnk0202F2C0,decomp,provisional,Read by a small getter at 0x08037F1C; role unknown
0x0202F2D0,4,gUnk0202F2D0,decomp,provisional,Read by a small getter at 0x08037F4C; role unknown
0x0202F300,4,gRam0202F300,decomp,provisional,u32 field at +8
0x0202F310,4,gUnk0202F310,decomp,provisional,Read by a small getter at 0x08037F28; role unknown
0x0202F360,12,gRam0202F360,decomp,provisional,SubmitPack copies 12 bytes (byte-matching evidence)
0x0202F3D0,4,gRam0202F3D0,decomp,provisional,Referenced by a block queued for matching; role unknown
0x0202F3D8,4,gRam0202F3D8,decomp,provisional,Referenced by a block queued for matching; role unknown
0x0202F3DC,4,gRam0202F3DC,decomp,provisional,Referenced by a block queued for matching; role unknown
0x0202F3E0,60,gRam0202F3E0,decomp,provisional,"Map context: +0 tile data pointer, +0x38 row stride  TRACE (session 6): the +0x0C field stepped 6 -> 0 -> 7 about 88 frames after death; the mission was cancelled at that point. Candidate mission/game state machine; NOT VERIFIED.  TRACE (session 7): it holds two arrays, +0x10..+0x24 and +0x28..+0x34; the values advance in steps of exactly 65536 (1.000 in 16.16 fixed point). It looks like a position/grid table."
0x0202F4CC,4,gRam0202F4CC,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x020302E0,4,gRam020302E0,decomp,provisional,"compared at 0x08050190  TRACE: it changed ONLY during a car ride (f3815, twice). It may belong to the vehicle system."
0x020302E4,4,gRam020302E4,decomp,provisional,u32 state field zeroed by FUN_0805643C
0x02030304,4,gRam02030304,decomp,provisional,compared at 0x080501AC
0x02030308,4,gRam02030308,decomp,provisional,compared at 0x08050190
0x02030324,4,gRam02030324,decomp,provisional,compared at 0x080501AC
0x02030328,4,gRam02030328,decomp,provisional,zero-checked in 0x0806262C  TRACE (session 6): 0 -> 0x020303C4 (an EWRAM pointer) was written four frames after death. It may be a context set up on the death/respawn path; NOT VERIFIED.
0x02030330,60,gRam02030330,decomp,verified,"+0x10 is read by GetSlotUnk10 (byte-matching evidence), so the size is at least 20; Write field at +0x2C. The upper bound is unknown.  TRACE (mission session, session 7): THE CONFLICT IS RESOLVED. the +0x0C, +0x18 and +0x1C fields were written (f22512/f22544), so the block extends at least to 0x02030350. wanted_level_true (0x02030340) is NOT a separate object; it is this block's +0x10 field. The size 60 is correct; the recording error is in wanted_level_true.  TRACE (session 8): THE WANTED-LEVEL / POLICE SYSTEM BLOCK. Measured fields: +0x08 state (0->3->1 when the wanted level starts, 1->2->0 on arrest), +0x0C threshold (40->25 while wanted, 25->40 once cleared), +0x10 wanted_level_true, +0x18 and +0x1C two countdowns that decrease together (1800->1770 / 300->270), +0x20 goes 0->2400 while wanted and 2400->0 on arrest, +0x28 and +0x30 are set up during the wanted state, +0x34 goes 0->1 on arrest, +0x38 the BUSTED screen step counter (0->1->2->3->4->5 after the arrest)."
0x02030340,1,wanted_level_true,libretro_cheat,verified,TRACE (session 7): NOT a separate object -- the +0x10 field of the gRam02030330 block. The libretro_cheat source gave the address of an inner field of a larger structure. The gRam02030330 overlap flagged earlier is therefore NOT REAL.  TRACE (session 8): NAME CORRECT. the +0x10 field of the gRam02030330 block; It takes the same value as wanted_level_display on the same frame.
0x02030370,1,gRam02030370,decomp,provisional,u8 state field zeroed by FUN_0805643C
0x020303C0,4,gRecordLoadFlag,decomp,provisional,"u32; 1 is written on entry to 0x08051154 (str, offset 0). A SEPARATE object from gRam020303C4: the ROM loads both from separate literals, and it is not a -4 field."
0x020303C4,4,gRam020303C4,decomp,provisional,An EWRAM pointer. In FUN_08017628 the same value (0x020303C4) is loaded from NINE separate pool words; each time *(g)+0x28 is read and the 0x400 flag is set. The session-6 trace in the 0x02030328 note also recorded a write here four frames after death. The type is NOT VERIFIED.
0x020303D0,16,gRecordIndex,decomp,provisional,Selects a 60-byte record in the table at 0x08CAC248
0x020307F0,0,gRam020307F0,decomp,provisional,Grid origin and the cell data starting at +8; FUN_080515D0 writes it with a 32x32 bounds check
0x02030C00,4,gRam02030C00,decomp,provisional,0x08052C68 reads it as the mask gate switch.
