id,priority,area,status,title,acceptance,evidence,updated
MATCH-013,P1,matching,done,Retry the remaining 4 parked files with rules 35-36,"RunMenuScreen, FUN_08020a9c, CleanupAreaTiles and ClearTextArea are each retried with separate base lifetimes and the single-expression product rule; each either matches or its obstacle is documented with evidence","src/world/area_cleanup.c (56->7), the header of src/text/clear_text_area.c",2026-09-04
TOOL-010,P1,toolchain,todo,Write a structural gate for new map entries,"A candidate may be added to the map only if (a) it starts with a push prologue AND (b) it is preceded by a function-ending instruction (pop{..,pc} / bx lr / unconditional b); this test caught 57 of the 57 false entries produced by split_at_calls",,2026-09-04
MAP-010,P2,map,todo,Apply ONLY the 16 zero-risk ARM entries from the gap analysis,The ARM region was measured independently (the cond!=0xF ratio is exactly 1.0000); these 16 entries are added after passing the TOOL-010 gate. The 123 Thumb leaves without prologues are DELIBERATELY left out,,2026-09-04
MATCH-014,P2,matching,done,Harvest small world/entity functions (with rules 35-36),Work proceeds in groups of 5 clusters in the modules where the idiom library is strongest; make check-full must pass at the end of each cluster,"pool_first, copy_flag_byte, get_slot_unk10, is_mode_two, submit_pack = 5 functions",2026-09-04
TOOL-011,P1,toolchain,done,The boundary checker does not count tail literal pools,audit_boundaries.py includes in the size a literal pool that comes AFTER a function's body and is referenced only by that function; the sizes of 108 byte-matching records were short for this reason and the checker reported 0 findings,tools/audit_boundaries.py tail_pool_extent(); 207/207 byte-matching evidence,2026-09-04
MAP-011,P2,map,done,Document the real structure of the 0x020303D0 block,"In the ROM, 0x0805148C takes 0x020303D0 as a BASE and reads +0x0C, so there is a struct there. But the address is recorded in the map under the name gRecordIndex as an extern u32, and record_table.c uses it as an array index, and THAT FILE IS BYTE-MATCHING. 0x0805148C cannot be written until the block's structure is documented: a second extern type breaks the TYPES-001 gate, a literal address macro hides the EWRAM usage from the RAM map, and a separate symbol for 0x020303DC does not produce the +12 offset.","src/world/is_state_two.c; gRecordIndex converted to a struct view, record_table.c kept at 3/3",2026-09-04
MATCH-015,P1,matching,done,Advance the sprite pool block with natural C,FlushSpriteList matches; the pool initialization and sorting neighbors are measured against the ROM; matching regions are taken into the build chain and make check-full passes,"make check-full CLEAN; 5 additional C matches (518 function bytes); 6 new regions (592 bytes, including AllocNode 72 + 2 alignment); docs/WORKLOG.md 2026-09-05",2026-09-05
MATCH-016,P1,matching,done,Match the FindQuadEdgeCrossing four-edge test in C,"The 522-byte function is measured against the ROM; if it matches its source region is recorded, if not the closest clean C and the difference evidence are preserved","NO MATCH: 72/522 differences, size correct (522/522), semantics resolved; the remaining difference is register allocation (dump_alloc: 120 pseudos, 69 spills). Parked as src/world/quad_edge_test.c with a record of 632 eliminated variants. SIDE GAIN: two functions in the same region matched -- FUN_0800b140 (44B) + FUN_0800bdb0 (72B) = src/world/geometry.c",2026-09-05
ARM-001,P1,matching,todo,Match the 18 functions in the ARM region with C,"The ARM-mode build chain is working; each candidate is measured against the ROM, and if it matches its region is recorded","ARM mode was wired in (agbcc_arm, .align 4). FLAG DISCOVERY: -fomit-frame-pointer + -fno-schedule-insns + -fno-schedule-insns2 took the first candidate from 244 to 188 bytes and was added permanently. ALLOCATION CEILING FOUND: agbcc_arm always pushes only 8 registers ({r4-r9,sl,lr}) and never brings fp/ip into general allocation; the ROM pushes 11. Nine flags were tried, none widened the set. This is a STRUCTURAL limit for ARM matches. First candidate 0x0806A77C: 171/196 differences, output 188 bytes -- NOT close.",2026-09-05
MATCH-017,P1,matching,done,Finish the sibling function band,The target list of the sibling band in ROADMAP is bound to a reproducible data view; every target in the list is measured against the ROM and reaches either a match or an evidenced park; make check-full passes,"data/sibling_band.csv + make sibling-check; 84 targets / 19794 bytes: 9 matching / 1262 bytes, 75 evidenced parks; docs/WORKLOG.md 2026-09-06",2026-09-06
MATCH-018,P1,matching,done,Resolve the TX register conflict in the SIO driver,The r4 conflict in the second half of FUN_080657d8's TX is removed with natural C or narrowed with new ROM/RTL measurements; non-regressing source and reproducible evidence are preserved; make check passes,"make check CLEAN; tools/probe_sio_tx.py: 575/1174 -> 669/1174; k=r4, tx2=r5, cur=r6; COMPILER rule 64. Not a full match; the remaining work is MATCH-019.",2026-09-07
MATCH-019,P1,matching,todo,Resolve the SIO driver's remaining instruction differences,FUN_080657d8 passes the make c-match gate with natural C; the RX address relation and the window/exit blocks are examined separately against the current ROM diff,Starting point: 669/1174 instructions; C 2352 / ROM 2374 bytes. The TX r4 conflict was resolved by MATCH-018; docs/OPEN_ISSUES.md section 1.,2026-09-07
PHASE-001,P1,matching,in_progress,Phase 1: finish the twin and fresh-neighbor harvest completely,The fixed initial targets and the twins opened up by new matches are fully measured; at most four attempts per candidate; every result is either a full match or a park with source and measurement evidence; make check-full passes,,2026-09-07
